Date,Clicks,Impressions,CTR,Position
2026-04-12,1,377,0.27%,5.6
2026-04-13,6,435,1.38%,6
2026-04-14,6,364,1.65%,5.3
2026-04-15,6,425,1.41%,5.6
2026-04-16,11,389,2.83%,6.1
2026-04-17,9,387,2.33%,5.8
2026-04-18,3,337,0.89%,5.7
2026-04-19,5,367,1.36%,5.8
2026-04-20,10,333,3%,5.9
2026-04-21,3,283,1.06%,6
2026-04-22,18,430,4.19%,6
2026-04-23,7,308,2.27%,6.1
2026-04-24,3,371,0.81%,6.1
2026-04-25,2,303,0.66%,6.6
2026-04-26,3,303,0.99%,7
2026-04-27,6,253,2.37%,6.8
2026-04-28,10,305,3.28%,6.3
2026-04-29,9,412,2.18%,6.5
2026-04-30,12,284,4.23%,6.5
2026-05-01,9,404,2.23%,6.4
2026-05-02,6,364,1.65%,6.5
2026-05-03,2,397,0.5%,6.4
2026-05-04,10,274,3.65%,6.1
2026-05-05,5,393,1.27%,6.8
2026-05-06,6,533,1.13%,6.8
2026-05-07,7,330,2.12%,7.8
2026-05-08,6,428,1.4%,7.4
2026-05-09,5,425,1.18%,8.3
2026-05-10,7,343,2.04%,7.7
2026-05-11,6,248,2.42%,6.7
2026-05-12,6,311,1.93%,7.2
2026-05-13,3,399,0.75%,6.8
2026-05-14,7,403,1.74%,6.9
2026-05-15,7,270,2.59%,6.6
2026-05-16,10,248,4.03%,6.1
2026-05-17,6,208,2.88%,5.8
2026-05-18,3,198,1.52%,5.6
2026-05-19,4,143,2.8%,5.5
2026-05-20,12,321,3.74%,6.1
2026-05-21,4,160,2.5%,6
2026-05-22,6,152,3.95%,6.1
2026-05-23,4,269,1.49%,6.2
2026-05-24,8,252,3.17%,6
2026-05-25,7,221,3.17%,6.1
2026-05-26,5,212,2.36%,6.6
2026-05-27,4,236,1.69%,6.2
2026-05-28,4,215,1.86%,5.9
2026-05-29,4,230,1.74%,5.7
2026-05-30,2,284,0.7%,5.9
2026-05-31,3,269,1.12%,6.2
2026-06-01,6,248,2.42%,6.4
2026-06-02,7,259,2.7%,5.9
2026-06-03,13,366,3.55%,6.6
2026-06-04,7,239,2.93%,6.3
2026-06-05,6,223,2.69%,6.4
2026-06-06,5,278,1.8%,5.8
2026-06-07,9,276,3.26%,6.7
2026-06-08,14,262,5.34%,6
2026-06-09,16,224,7.14%,5.7
2026-06-10,6,261,2.3%,6.4
2026-06-11,20,242,8.26%,6.5
2026-06-12,31,275,11.27%,5
2026-06-13,45,326,13.8%,4.9
2026-06-14,12,225,5.33%,6.3
2026-06-15,11,223,4.93%,5.4
2026-06-16,3,243,1.23%,6.2
2026-06-17,5,288,1.74%,5.5
2026-06-18,10,217,4.61%,6.7
2026-06-19,3,194,1.55%,6.1
2026-06-20,2,194,1.03%,5.7
2026-06-21,0,178,0%,6.7
2026-06-22,5,207,2.42%,6.4
2026-06-23,3,242,1.24%,6
2026-06-24,6,284,2.11%,6.3
2026-06-25,1,360,0.28%,6.4
2026-06-26,7,289,2.42%,6.8
2026-06-27,0,299,0%,6.7
2026-06-28,5,221,2.26%,6.9
2026-06-29,3,212,1.42%,6.3
2026-06-30,5,209,2.39%,5.9
2026-07-01,5,269,1.86%,6.4
2026-07-02,0,188,0%,6.3
2026-07-03,5,211,2.37%,6.7
2026-07-04,6,255,2.35%,6.3
2026-07-05,2,212,0.94%,5.9
2026-07-06,4,301,1.33%,7
2026-07-07,4,242,1.65%,6.8
2026-07-08,3,222,1.35%,6.7
2026-07-09,3,266,1.13%,6.8
2026-07-10,5,259,1.93%,6.8
2026-07-11,4,227,1.76%,6.3
