Country,Clicks,Impressions,CTR,Position
France,556,20760,2.68%,6.24
Canada,12,1261,0.95%,6.25
Switzerland,9,594,1.52%,6.05
Belgium,8,1048,0.76%,7.18
United States,3,415,0.72%,9.28
Spain,3,118,2.54%,6.2
Morocco,3,96,3.12%,5.92
Sweden,3,18,16.67%,5.11
Côte d’Ivoire,2,75,2.67%,5.83
Netherlands,2,47,4.26%,6.36
New Caledonia,2,33,6.06%,7.61
Japan,2,20,10%,7.65
Réunion,1,164,0.61%,6
Congo - Kinshasa,1,66,1.52%,6.06
Cameroon,1,58,1.72%,5.55
Italy,1,45,2.22%,5.87
Tunisia,1,42,2.38%,5.69
Guadeloupe,1,39,2.56%,6.59
Congo - Brazzaville,1,11,9.09%,6.09
Malaysia,1,9,11.11%,5.44
Russia,1,6,16.67%,9.67
Montenegro,1,4,25%,6.5
Germany,0,106,0%,6.35
French Polynesia,0,61,0%,4.87
Madagascar,0,61,0%,6.13
Algeria,0,59,0%,5.9
United Kingdom,0,56,0%,6.59
Martinique,0,54,0%,5.46
Luxembourg,0,52,0%,6.37
Senegal,0,38,0%,5.5
Benin,0,36,0%,5.92
Portugal,0,28,0%,7.11
Haiti,0,22,0%,6.95
Mauritius,0,21,0%,6.14
Burkina Faso,0,20,0%,5.6
India,0,20,0%,5.85
United Arab Emirates,0,20,0%,6.1
Gabon,0,18,0%,5.11
Togo,0,18,0%,7.22
French Guiana,0,17,0%,5.71
Australia,0,17,0%,7.82
Brazil,0,17,0%,11.18
Mali,0,16,0%,6.62
Thailand,0,15,0%,7.8
Colombia,0,14,0%,5.79
Israel,0,14,0%,9.36
Taiwan,0,12,0%,6.17
Lebanon,0,12,0%,7.92
South Korea,0,11,0%,5.36
Norway,0,11,0%,5.64
Indonesia,0,11,0%,6.36
Hong Kong,0,10,0%,4.4
Vietnam,0,9,0%,6.89
Dominican Republic,0,9,0%,7.22
Greece,0,9,0%,7.89
Chad,0,8,0%,6.25
Turkey,0,8,0%,7
Philippines,0,8,0%,7.75
Mexico,0,7,0%,4.86
China,0,7,0%,5.29
Denmark,0,7,0%,5.57
Poland,0,7,0%,7.14
Uganda,0,6,0%,6.67
Mayotte,0,6,0%,8.33
New Zealand,0,5,0%,3.4
Monaco,0,5,0%,4.2
Argentina,0,5,0%,5
Qatar,0,5,0%,5.2
Egypt,0,5,0%,6.4
Ireland,0,5,0%,7
Serbia,0,5,0%,9.2
Singapore,0,4,0%,4.5
Guinea,0,4,0%,4.75
Chile,0,4,0%,5.5
Hungary,0,4,0%,7.25
Burundi,0,4,0%,7.5
Djibouti,0,3,0%,6
Albania,0,3,0%,6.67
Sri Lanka,0,3,0%,7
Finland,0,3,0%,8
Saudi Arabia,0,3,0%,10.67
South Africa,0,2,0%,1
St. Martin,0,2,0%,2.5
Bahamas,0,2,0%,3.5
Ghana,0,2,0%,5
Austria,0,2,0%,5.5
Kazakhstan,0,2,0%,5.5
Costa Rica,0,2,0%,6
Ecuador,0,2,0%,6.5
Jordan,0,2,0%,6.5
Rwanda,0,2,0%,6.5
Andorra,0,2,0%,7.5
Guatemala,0,2,0%,7.5
Ukraine,0,2,0%,7.5
Niger,0,2,0%,9
Venezuela,0,2,0%,11
Romania,0,2,0%,18
Peru,0,2,0%,20.5
Pakistan,0,2,0%,29
Nigeria,0,2,0%,30
Iraq,0,1,0%,1
Panama,0,1,0%,1
Oman,0,1,0%,2
Bulgaria,0,1,0%,3
Cape Verde,0,1,0%,3
Nepal,0,1,0%,3
Central African Republic,0,1,0%,4
Iran,0,1,0%,4
Laos,0,1,0%,4
St. Barthélemy,0,1,0%,5
Iceland,0,1,0%,5
Moldova,0,1,0%,5
Bolivia,0,1,0%,6
Brunei,0,1,0%,6
Czechia,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Belarus,0,1,0%,8
Malta,0,1,0%,8
Mongolia,0,1,0%,8
Bangladesh,0,1,0%,9
Croatia,0,1,0%,9
Kenya,0,1,0%,9
Angola,0,1,0%,10
Lithuania,0,1,0%,10
Palestine,0,1,0%,10
Cyprus,0,1,0%,11
Dominica,0,1,0%,11
